Nguyen Van A,nva@student.ctu.edu.vn,12/04/2004,123456
Tran Thi B,ttb@student.ctu.edu.vn,31/10/2004,abcdef
Le Van C,lvc@student.ctu.edu.vn,15/07/2004,654321
Pham Van D,pvd@student.ctu.edu.vn,16/08/2004,fedcba
Dinh Van E,dve@student.ctu.edu.vn,25/01/2004,abc123
Ly Thi F,ltf@student.ctu.edu.vn,16/09/2004,123abc
Pham Thi G,ptg@student.ctu.edu.vn,12/09/2004,cba123
Vo Van H,vvh@student.ctu.edu.vn,30/01/2004,321abc
Ngo Van I,ngi@student.ctu.edu.vn,27/02/2004,cba321
Trinh Thi J,ttj@student.ctu.edu.vn,11/01/2004,321cba
